Sl no,Tweets,Search key,Feeling
1619," #31: @Otep🌠 ed ""im fvkin* depressed https://t.co/t1S92BIXwO""",depress,sad
4956," #60: @MrRemain is an Ultra-Remainer ed ""RT @SimonBruni: It's not a path, ""Let's go WTO"" is the UK having a nervous breakdown. We'll be the country that ends up on a park bench wea…""",nervous,fear
2170," #7: @BabsMidd ed ""RT @fireboyle: Someone shared a really fantastic speech and it reminded me of this from last March. This is an absolute masterclass in the…""",tragic,sad
1092," #87: @moorsman ed ""RT @karenspenley: I’m pleased to say this happened a lot this weekend. As we enter BBQ season, what will you be talking about?   The most i…""",pleased,happy
7761," #30: @眞琥 ed ""@8o6p1y0a1n0n3u1 いつの絵でもダルさんは可愛いしかっこいい""",daze,surprise
8078," #86: @Kenny Masoko ed ""RT @Sowellnomics: @kennymasoko Venezuela was once the most prosperous country in Latin America with the largest proven oil reserves on the…""",prosperous,happy
2238," #2: @Post-liberal Bot ed ""Did you like the fact that I included the Jesuits this time? @glum_bucket dont want them to feel left out.""",glum,sad
8268," #34: @The Norbert_empire™ 🏰 ed ""@Wyclif256 Psalms 16:5 Lord, you alone are my inheritance, my cup of blessing. You guard all that is mine.#ApostleGraceInNairobi #KICC #1stJUNE""",bless,happy
8359," #21: @Asset Harbour ed ""Recent research reveals 44% of UK adults do not think they will have enough money to enjoy their retirement. Whether you're thinking about saving into a pension for the first time, making decisions for your retirement or giving your child a financial head start, we can help. https://t.co/16X2NqF6Qt""",help,happy
8961,"Tweet #9: @#BlackChina☣️® tweeted ""@MbalulaFikile @SpheDludla @Aveewear1 @AfriNewsAgency Brika nyana tuu we still mourning our granny we can’t be jaiving all over  , rejoice not allowed in our culture https://t.co/MHK3YQtgAt""",mourning,sad
533," #66: @kimilabs25 ed ""RT @AishaZ23: I don’t want to ever forget this night where there ordinary guys made Magic Happen and then stayed to watch the fireworks! @B…""",joy,happy
766," #4: @Kathleen Lyons ed ""Win a $250 jovial Shopping Spree! https://t.co/nJIRVWiYgj""",jovial,happy
1357," #30: @Cara Mia ed ""#PennyWong been delivering for Labor as moral, trusted Leader in the Senate for years. Glad a bit of sunlight falling on this talent finally. Notice too how many impressive women on Labor side. Quotas delivered quality candidates. Only fearful Coalition men disagree.Typical. Sad. https://t.co/78KNSwao2A""",sad,sad
5842," #36: @Mirty Dutt ed ""@WhyTho98970011 you're just jealous your hands aren't sticky""",jealous,angry
81," #9: @Sidling Wipeslit*🔸🇪🇺 ed ""@CherylBullen Amazing pic!""",amazing,happy
3174," #79: @Les. ed ""RT @DelizaDoolittle: Incels have truly found their people. They’re outraged that women don’t want to have sex with them as men. Next step?…""",outraged,angry
2703," #32: @C. Samuel☀️🍍 ed ""It’s amazing how i could be doing nothing. Nothing goes in my nose to irritate it either. No smells. Nothing. And I’ll just start sneezing for no reason at all 😒✋🏼🚫Sinus problems are the woooorst.""",irritate,angry
8390," #52: @Ahkihs7tog ed ""Ahgases plz help Got7 for this comeback !! Our competitors are strong in digital and physicals but our physical nd digital are lowest this time !! Buy streaming passes or an album 🙏💚 #GOT7 @GOT7Official""",help,happy
1249," #79: @Berwick Lodge PS ed ""RT @kathleen_morris: I know examples of student work are always so helpful! It was great to put this post together with examples from blogg…""",helpful,happy
5684," #22: @Joseph Gilligan ed ""@avignon94 I'm doing Social and Behavioral Science, we've been going through some parents worst nightmare with one of ours and I'm thinking I dont have the disposition for that kind of work. So I might switch back to English. It's tough but rewarding. Growth is always good.""",kind,happy
